time(us),amplitude
3803408, 0.53
3804220, 0.68
3805028, 0.87
3805844, 1.05
3806652, 1.15
3807468, 1.21
3808280, 1.21
3809092, 1.19
3809908, 1.13
3810724, 1.05
3811536, 0.90
3812340, 0.75
3813156, 0.58
3813972, 0.39
3814784, 0.27
3815596, 0.20
3816404, 0.19
3817220, 0.20
3818036, 0.25
3818848, 0.33
3819660, 0.47
3820468, 0.61
3821284, 0.77
3822100, 0.98
3822912, 1.11
3823724, 1.18
3824536, 1.21
3825352, 1.21
3826164, 1.16
3826980, 1.09
3827788, 0.96
3828596, 0.83
3829412, 0.67
3830224, 0.46
3831036, 0.32
3831848, 0.22
3832660, 0.19
3833476, 0.19
3834288, 0.22
3835100, 0.29
3835916, 0.40
3836724, 0.54
3837540, 0.69
3838352, 0.88
3839164, 1.05
3839972, 1.15
3840792, 1.21
3841604, 1.21
3842420, 1.19
3843228, 1.13
3844036, 1.04
3844852, 0.89
3845668, 0.74
3846476, 0.56
3847284, 0.38
3848092, 0.26
3848908, 0.21
3849720, 0.19
3850532, 0.20
3851340, 0.26
3852148, 0.33
3852964, 0.47
3853772, 0.62
3854584, 0.78
3855392, 0.98
3856204, 1.11
3857020, 1.19
3857828, 1.21
3858644, 1.21
3859452, 1.16
3860268, 1.09
3861084, 0.96
3861896, 0.82
3862704, 0.66
3863516, 0.46
3864332, 0.32
3865148, 0.22
3865960, 0.19
3866772, 0.19
3867580, 0.22
3868396, 0.29
3869212, 0.41
3870024, 0.55
3870832, 0.70
3871644, 0.88
3872460, 1.06
3873268, 1.16
3874084, 1.21
3874892, 1.21
3875704, 1.19
3876520, 1.12
3877332, 1.03
3878144, 0.88
3878948, 0.74
3879756, 0.57
3880572, 0.38
3881384, 0.26
3882192, 0.20
3883004, 0.19
3883820, 0.20
3884636, 0.26
3885448, 0.34
3886260, 0.48
3887068, 0.62
3887884, 0.79
3888700, 0.99
3889512, 1.11
3890324, 1.19
3891132, 1.22
3891952, 1.21
3892768, 1.16
3893580, 1.09
3894388, 0.95
3895196, 0.81
3896012, 0.65
3896824, 0.45
3897632, 0.31
3898444, 0.22
3899252, 0.19
3900068, 0.19
3900880, 0.23
3901692, 0.29
3902500, 0.41
3903308, 0.55
3904124, 0.70
3904932, 0.89
3905744, 1.06
3906552, 1.16
3907372, 1.21
3908188, 1.21
3909004, 1.18
3909820, 1.12
3910628, 1.03
3911444, 0.88
3912260, 0.73
3913072, 0.55
3913884, 0.37
3914692, 0.25
3915508, 0.20
3916324, 0.19
3917136, 0.20
3917948, 0.26
3918756, 0.34
3919572, 0.49
3920384, 0.63
3921196, 0.80
3922004, 0.99
3922812, 1.12
3923628, 1.19
3924444, 1.21
3925260, 1.21
3926068, 1.15
3926880, 1.09
3927692, 0.95
3928504, 0.81
3929316, 0.65
3930132, 0.45
3930940, 0.30
3931756, 0.22
3932568, 0.19
3933380, 0.19
3934188, 0.23
3935004, 0.30
3935820, 0.42
3936632, 0.56
3937440, 0.71
3938252, 0.91
3939068, 1.07
3939884, 1.16
3940700, 1.21
3941516, 1.21
3942328, 1.18
3943144, 1.11
3943960, 1.02
3944772, 0.87
3945580, 0.72
3946388, 0.54
3947204, 0.36
3948016, 0.25
3948828, 0.19
3949636, 0.19
3950444, 0.21
3951260, 0.27
3952072, 0.35
3952884, 0.49
3953692, 0.64
3954500, 0.81
3955316, 1.01
3956124, 1.12
3956940, 1.19
3957748, 1.22
3958568, 1.20
3959384, 1.15
3960196, 1.08
3961008, 0.94
3961812, 0.80
3962628, 0.64
3963444, 0.43
3964256, 0.30
3965068, 0.22
3965876, 0.18
3966692, 0.19
3967508, 0.23
3968320, 0.30
3969132, 0.43
3969940, 0.57
3970756, 0.72
3971568, 0.92
3972376, 1.07
3973188, 1.17
3973996, 1.21
3974812, 1.21
3975628, 1.18
3976444, 1.11
3977252, 1.01
3978064, 0.87
3978876, 0.72
3979688, 0.53
3980496, 0.36
3981308, 0.25
3982124, 0.20
3982940, 0.19
3983752, 0.21
3984564, 0.27
3985372, 0.36
3986188, 0.50
3987004, 0.65
3987816, 0.82
3988628, 1.01
3989436, 1.13
3990252, 1.20
3991068, 1.21
3991884, 1.20
3992696, 1.14
3993508, 1.08
3994324, 0.93
3995136, 0.79
3995944, 0.62
3996756, 0.43
3997564, 0.29
3998380, 0.22
3999192, 0.19
4000004, 0.19
4000812, 0.24
4001620, 0.30
4002436, 0.43
4003244, 0.58
4004056, 0.73
4004872, 0.93
4005680, 1.08
4006492, 1.17
4007300, 1.21
4008116, 1.21
4008924, 1.18
4009740, 1.11
4010556, 1.00
4011368, 0.86
4012176, 0.71
4012988, 0.52
4013804, 0.35
4014620, 0.24
4015432, 0.19
4016236, 0.19
4017044, 0.21
4017860, 0.27
4018672, 0.36
4019480, 0.51
4020292, 0.65
4021100, 0.83
4021916, 1.02
4022724, 1.13
4023540, 1.20
4024348, 1.21
4025160, 1.20
4025976, 1.14
4026788, 1.07
4027600, 0.93
4028404, 0.79
4029220, 0.63
4030036, 0.42
4030848, 0.29
4031660, 0.22
4032468, 0.19
4033284, 0.19
4034100, 0.24
4034912, 0.31
4035724, 0.43
4036532, 0.58
4037348, 0.73
4038164, 0.93
4038976, 1.08
4039780, 1.17
4040588, 1.21
4041404, 1.21
4042220, 1.17
4043036, 1.11
4043848, 1.00
4044660, 0.86
4045476, 0.70
4046284, 0.51
4047096, 0.35
4047908, 0.24
4048716, 0.19
4049532, 0.19
4050344, 0.21
4051156, 0.27
4051964, 0.37
4052780, 0.51
4053596, 0.65
4054408, 0.84
4055216, 1.02
4056028, 1.14
4056844, 1.20
4057660, 1.21
4058476, 1.20
4059292, 1.14
4060100, 1.06
4060916, 0.92
4061732, 0.78
4062544, 0.61
4063356, 0.41
4064164, 0.28
4064980, 0.22
4065792, 0.19
4066604, 0.19
4067412, 0.24
4068220, 0.31
4069036, 0.44
4069848, 0.59
4070660, 0.74
4071468, 0.95
4072276, 1.09
4073092, 1.18
4073908, 1.21
4074724, 1.21
4075540, 1.17
4076352, 1.10
4077168, 0.99
4077980, 0.85
4078792, 0.69
4079600, 0.50
4080420, 0.34
4081236, 0.23
4082048, 0.19
4082860, 0.19
4083668, 0.22
4084484, 0.28
4085300, 0.38
4086112, 0.52
4086924, 0.67
4087732, 0.85
4088548, 1.03
4089364, 1.14
4090180, 1.20
4090992, 1.21
4091804, 1.20
4092620, 1.13
4093436, 1.05
4094248, 0.91
4095060, 0.77
4095868, 0.59
4096684, 0.40
4097492, 0.28
4098300, 0.21
4099108, 0.18
4099916, 0.19
4100732, 0.25
4101540, 0.32
4102352, 0.45
4103156, 0.60
4103972, 0.75
4104788, 0.95
4105596, 1.09
4106404, 1.18
4107212, 1.21
4108028, 1.21
4108844, 1.16
4109652, 1.10
4110460, 0.98
4111268, 0.85
4112084, 0.69
4112892, 0.49
4113704, 0.34
4114508, 0.23
4115316, 0.19
4116132, 0.19
4116944, 0.22
4117752, 0.28
4118564, 0.38
4119372, 0.52
4120188, 0.67
4120996, 0.85
4121804, 1.03
4122612, 1.14
4123424, 1.20
4124240, 1.21
4125052, 1.20
4125860, 1.14
4126668, 1.06
4127484, 0.91
4128300, 0.77
4129108, 0.60
4129916, 0.41
4130724, 0.28
4131540, 0.21
4132352, 0.18
4133160, 0.19
4133972, 0.24
4134780, 0.31
4135596, 0.45
4136404, 0.59
4137216, 0.75
4138024, 0.95
4138836, 1.09
4139648, 1.18
4140460, 1.21
4141276, 1.21
4142092, 1.17
4142900, 1.10
4143716, 0.99
4144528, 0.85
4145336, 0.69
4146148, 0.50
4146964, 0.34
4147780, 0.23
4148592, 0.19
4149400, 0.19
4150212, 0.22
4151028, 0.28
4151844, 0.38
4152652, 0.52
4153464, 0.67
4154276, 0.85
4155092, 1.04
4155900, 1.14
4156716, 1.20
4157528, 1.21
4158336, 1.20
4159152, 1.13
4159964, 1.05
4160776, 0.91
4161580, 0.77
4162388, 0.60
4163204, 0.40
4164012, 0.28
4164820, 0.21
4165628, 0.19
4166444, 0.20
4167260, 0.25
4168072, 0.32
4168880, 0.45
4169688, 0.60
4170504, 0.75
4171320, 0.95
4172132, 1.09
4172940, 1.18
4173748, 1.22
4174564, 1.21
4175380, 1.17
4176196, 1.10
4177004, 0.98
4177812, 0.84
4178628, 0.69
4179436, 0.49
4180248, 0.33
4181056, 0.23
4181868, 0.19
4182684, 0.19
4183496, 0.22
4184304, 0.28
4185116, 0.38
4185924, 0.52
4186740, 0.67
4187548, 0.86
4188360, 1.03
4189164, 1.14
4189980, 1.21
4190796, 1.22
4191612, 1.20
4192428, 1.13
4193236, 1.06
4194052, 0.91
4194868, 0.76
4195676, 0.59
4196488, 0.40
4197300, 0.28
4198116, 0.21
4198932, 0.19
4199744, 0.20
4200548, 0.25
4201356, 0.32
4202172, 0.45
4202980, 0.60
4203792, 0.76
4204600, 0.96
4205412, 1.09
4206228, 1.18
4207036, 1.21
4207852, 1.21
4208664, 1.17
4209472, 1.10
4210288, 0.98
4211100, 0.84
4211912, 0.68
4212716, 0.49
4213532, 0.33
4214348, 0.23
4215160, 0.19
4215972, 0.19
4216780, 0.22
4217596, 0.28
4218412, 0.39
4219220, 0.53
4220032, 0.67
4220840, 0.86
4221656, 1.04
4222468, 1.15
4223284, 1.20
4224092, 1.21
4224900, 1.19
4225716, 1.13
4226532, 1.05
4227340, 0.90
4228148, 0.76
4228956, 0.59
4229772, 0.40
4230584, 0.27
4231392, 0.21
4232212, 0.19
4233020, 0.20
4233836, 0.25
4234648, 0.32
4235456, 0.46
4236268, 0.60
4237084, 0.76
4237900, 0.97
4238712, 1.10
4239524, 1.18
4240332, 1.21
4241148, 1.21
4241964, 1.16
4242780, 1.09
4243592, 0.97
4244396, 0.84
4245212, 0.68
4246028, 0.48
4246840, 0.33
4247648, 0.23
4248460, 0.19
4249276, 0.19
4250088, 0.22
4250900, 0.29
4251708, 0.39
4252516, 0.53
4253332, 0.68
4254144, 0.87
4254952, 1.04
4255768, 1.15
4256580, 1.21
4257396, 1.21
4258212, 1.19
4259020, 1.13
4259832, 1.05
4260644, 0.90
4261460, 0.75
4262268, 0.58
4263080, 0.39
4263884, 0.27
4264700, 0.21
4265516, 0.19
4266328, 0.20
4267140, 0.25
4267948, 0.32
4268764, 0.46
4269580, 0.61
4270392, 0.77
4271200, 0.97
4272012, 1.10
4272824, 1.18
4273636, 1.22
4274452, 1.21
4275260, 1.16
4276068, 1.09
4276884, 0.97
4277692, 0.83
4278504, 0.67
4279320, 0.47
4280132, 0.32
4280948, 0.23
4281760, 0.19
4282572, 0.19
4283380, 0.22
4284196, 0.29
4285012, 0.40
4285824, 0.54
4286632, 0.69
4287444, 0.87
4288260, 1.06
4289072, 1.15
4289884, 1.21
4290700, 1.21
4291508, 1.19
4292324, 1.13
4293140, 1.04
4293952, 0.89
4294756, 0.75
4295564, 0.57
4296380, 0.38
4297192, 0.26
4298004, 0.20
4298812, 0.19
4299620, 0.20
4300436, 0.25
4301248, 0.33
4302056, 0.47
4302872, 0.62
4303684, 0.77
4304500, 0.98
4305308, 1.11
4306124, 1.19
4306932, 1.22
4307748, 1.21
4308564, 1.16
4309380, 1.09
4310192, 0.96
4310996, 0.82
4311812, 0.66
4312628, 0.46
4313440, 0.32
4314252, 0.22
4315060, 0.19
4315876, 0.19
4316692, 0.22
4317504, 0.29
4318308, 0.40
4319116, 0.54
4319932, 0.69
4320744, 0.88
4321552, 1.05
4322364, 1.16
4323172, 1.21
4323988, 1.21
4324804, 1.19
4325612, 1.12
4326424, 1.04
4327228, 0.89
4328044, 0.75
4328852, 0.57
4329664, 0.38
4330468, 0.26
4331284, 0.20
4332100, 0.19
4332912, 0.20
4333724, 0.25
4334532, 0.33
4335348, 0.47
4336164, 0.62
4336972, 0.78
4337780, 0.98
4338588, 1.11
4339404, 1.19
4340212, 1.21
4341028, 1.21
4341840, 1.16
4342648, 1.09
4343460, 0.96
4344268, 0.82
4345080, 0.66
4345892, 0.46
4346700, 0.32
4347516, 0.23
4348328, 0.18
4349140, 0.19
4349948, 0.22
4350764, 0.29
4351580, 0.40
4352392, 0.55
4353200, 0.69
4354012, 0.88
4354828, 1.06
4355640, 1.16
4356452, 1.21
4357268, 1.21
4358076, 1.19
4358892, 1.12
4359708, 1.03
4360520, 0.88
4361324, 0.74
4362132, 0.56
4362948, 0.38
4363760, 0.26
4364568, 0.20
4365372, 0.19
4366180, 0.20
4366996, 0.26
4367808, 0.34
4368616, 0.47
4369432, 0.62
4370244, 0.78
4371060, 0.98
4371872, 1.11
4372684, 1.19
4373492, 1.21
4374308, 1.21
4375128, 1.16
4375940, 1.09
4376752, 0.96
4377564, 0.82
4378380, 0.66
4379196, 0.45
4380008, 0.31
4380820, 0.22
4381628, 0.19
4382444, 0.19
4383260, 0.23
4384072, 0.29
4384876, 0.41
4385684, 0.55
4386500, 0.70
4387312, 0.89
4388120, 1.06
4388928, 1.16
4389740, 1.21
4390556, 1.21
4391372, 1.18
4392188, 1.12
4392996, 1.03
4393804, 0.88
4394620, 0.73
4395432, 0.56
4396244, 0.37
4397052, 0.26
4397868, 0.20
4398684, 0.19
4399496, 0.21
4400308, 0.26
4401116, 0.34
4401932, 0.48
4402748, 0.63
4403560, 0.79
4404368, 0.99
4405180, 1.11
4405996, 1.19
4406812, 1.21
4407628, 1.21
4408436, 1.15
4409248, 1.09
4410060, 0.95
4410872, 0.81
4411684, 0.65
4412492, 0.45
4413300, 0.31
4414116, 0.22
4414928, 0.19
4415740, 0.19
4416548, 0.23
4417356, 0.30
4418172, 0.42
4418984, 0.55
4419792, 0.70
4420604, 0.90
4421420, 1.06
4422236, 1.16
4423052, 1.21
4423868, 1.21
4424676, 1.18
4425492, 1.12
4426308, 1.02
4427120, 0.87
4427932, 0.73
4428740, 0.55
4429556, 0.36
4430372, 0.25
4431184, 0.20
4431996, 0.19
4432804, 0.21
4433620, 0.26
4434428, 0.35
4435240, 0.49
4436044, 0.63
4436852, 0.80
4437668, 1.00
4438476, 1.12
4439292, 1.19
4440100, 1.22
4440912, 1.21
4441728, 1.15
4442540, 1.09
4443352, 0.94
4444156, 0.81
4444972, 0.65
4445788, 0.44
4446600, 0.30
4447408, 0.22
4448220, 0.19
4449036, 0.19
4449852, 0.23
4450664, 0.30
4451476, 0.42
4452284, 0.56
4453100, 0.71
4453916, 0.91
4454728, 1.07
4455536, 1.16
4456348, 1.21
4457164, 1.21
4457980, 1.18
4458796, 1.11
4459608, 1.02
4460416, 0.87
4461236, 0.72
4462048, 0.53
4462860, 0.36
4463668, 0.25
4464476, 0.20
4465292, 0.19
4466104, 0.21
4466916, 0.27
4467732, 0.35
4468540, 0.49
4469356, 0.64
4470168, 0.81
4470980, 1.01
4471788, 1.12
4472604, 1.20
4473420, 1.21
4474236, 1.20
4475052, 1.14
4475860, 1.08
4476676, 0.93
4477492, 0.79
4478304, 0.63
4479116, 0.43
4479928, 0.30
4480748, 0.22
4481564, 0.19
4482376, 0.19
4483180, 0.24
4483988, 0.30
4484804, 0.43
4485612, 0.58
4486424, 0.72
4487232, 0.92
4488044, 1.08
4488852, 1.17
4489668, 1.21
4490484, 1.21
4491292, 1.17
4492104, 1.11
4492920, 1.01
4493728, 0.87
4494540, 0.71
4495352, 0.53
4496168, 0.35
4496988, 0.24
4497796, 0.19
4498608, 0.19
4499420, 0.21
4500236, 0.27
4501052, 0.36
4501864, 0.51
4502676, 0.65
4503484, 0.83
4504300, 1.02
4505116, 1.13
4505932, 1.20
4506740, 1.21
4507548, 1.20
4508364, 1.15
4509180, 1.07
4509992, 0.93
4510800, 0.79
4511612, 0.62
4512428, 0.42
4513236, 0.29
4514048, 0.22
4514860, 0.19
4515668, 0.19
4516484, 0.24
4517292, 0.31
4518104, 0.43
4518920, 0.58
4519732, 0.73
4520548, 0.93
4521356, 1.09
4522168, 1.17
4522976, 1.21
4523796, 1.21
4524612, 1.17
4525428, 1.11
4526244, 1.00
4527052, 0.85
4527868, 0.70
4528684, 0.51
4529492, 0.35
4530304, 0.24
4531116, 0.19
4531932, 0.19
4532748, 0.21
4533560, 0.27
4534372, 0.37
4535180, 0.51
4535996, 0.65
4536808, 0.84
4537616, 1.03
4538428, 1.14
4539236, 1.20
4540052, 1.21
4540868, 1.20
4541684, 1.14
4542492, 1.06
4543300, 0.92
4544116, 0.78
4544924, 0.61
4545736, 0.41
4546548, 0.29
4547364, 0.21
4548180, 0.18
4548992, 0.19
4549804, 0.24
4550612, 0.31
4551428, 0.44
4552244, 0.59
4553052, 0.74
4553864, 0.95
4554676, 1.09
4555492, 1.18
4556308, 1.22
4557124, 1.21
4557932, 1.17
4558744, 1.10
4559560, 0.99
4560372, 0.85
4561184, 0.69
4561988, 0.50
4562796, 0.34
4563612, 0.24
4564424, 0.19
4565236, 0.19
4566044, 0.22
4566852, 0.28
4567668, 0.37
4568480, 0.52
4569288, 0.66
4570100, 0.84
4570916, 1.03
4571732, 1.14
4572548, 1.20
4573360, 1.21
4574168, 1.20
4574988, 1.14
4575804, 1.06
4576616, 0.91
4577428, 0.77
4578236, 0.60
4579052, 0.40
4579868, 0.28
4580680, 0.21
4581492, 0.19
4582300, 0.19
4583116, 0.25
4583928, 0.32
4584740, 0.45
4585548, 0.60
4586356, 0.75
4587172, 0.96
4587984, 1.09
4588792, 1.18
4589604, 1.22
4590412, 1.21
4591228, 1.17
4592044, 1.10
4592860, 0.98
4593672, 0.84
4594484, 0.69
4595300, 0.49
4596112, 0.33
4596924, 0.23
4597732, 0.19
4598548, 0.18
4599364, 0.22
4600176, 0.28
4600988, 0.38
4601796, 0.53
4602612, 0.67
4603428, 0.86
4604240, 1.04
4605044, 1.14
4605852, 1.20
4606672, 1.21
4607484, 1.19
4608300, 1.13
4609108, 1.05
4609916, 0.90
4610732, 0.77
4611540, 0.59
4612352, 0.40
4613160, 0.28
4613972, 0.21
4614788, 0.19
4615600, 0.20
4616412, 0.25
4617228, 0.32
4618036, 0.46
4618852, 0.60
4619660, 0.76
4620472, 0.97
4621284, 1.10
4622096, 1.18
4622912, 1.21
4623732, 1.21
4624548, 1.16
4625356, 1.10
4626176, 0.97
4626988, 0.83
4627800, 0.67
4628608, 0.48
4629420, 0.33
4630236, 0.23
4631052, 0.19
4631864, 0.19
4632676, 0.22
4633484, 0.28
4634300, 0.39
4635112, 0.53
4635924, 0.68
4636732, 0.87
4637540, 1.04
4638356, 1.15
4639172, 1.21
4639988, 1.21
4640800, 1.19
4641608, 1.13
4642420, 1.04
4643232, 0.90
4644040, 0.76
4644852, 0.58
4645668, 0.39
4646484, 0.27
4647292, 0.21
4648104, 0.19
4648916, 0.20
4649732, 0.25
4650548, 0.33
4651360, 0.47
4652168, 0.61
4652980, 0.77
4653796, 0.97
4654612, 1.10
4655420, 1.19
4656232, 1.21
4657044, 1.21
4657860, 1.16
4658676, 1.09
4659488, 0.96
4660292, 0.83
4661100, 0.67
4661916, 0.47
4662728, 0.32
4663540, 0.22
4664348, 0.19
4665156, 0.19
4665972, 0.22
4666784, 0.29
4667596, 0.40
4668404, 0.54
4669220, 0.68
4670036, 0.87
4670844, 1.05
4671656, 1.15
4672468, 1.21
4673284, 1.21
4674100, 1.19
4674916, 1.13
4675732, 1.04
4676540, 0.89
4677356, 0.75
4678172, 0.57
4678984, 0.38
4679788, 0.26
4680596, 0.20
4681412, 0.19
4682224, 0.20
4683036, 0.25
4683844, 0.33
4684652, 0.47
4685468, 0.62
4686276, 0.78
4687088, 0.98
4687900, 1.11
4688708, 1.18
4689528, 1.21
4690340, 1.21
4691156, 1.16
4691968, 1.09
4692780, 0.96
4693596, 0.82
4694408, 0.66
4695220, 0.46
4696028, 0.32
4696844, 0.22
4697660, 0.19
4698472, 0.19
4699284, 0.22
4700092, 0.29
4700908, 0.41
4701724, 0.54
4702536, 0.69
4703348, 0.89
4704156, 1.06
4704972, 1.16
4705788, 1.21
4706604, 1.21
4707416, 1.19
4708224, 1.12
4709044, 1.03
4709856, 0.88
4710668, 0.74
4711476, 0.56
4712284, 0.38
4713100, 0.26
4713912, 0.20
4714724, 0.19
4715540, 0.20
4716348, 0.26
4717164, 0.34
4717976, 0.48
4718788, 0.63
4719596, 0.79
4720412, 0.99
4721228, 1.11
4722044, 1.19
4722860, 1.21
4723672, 1.21
4724488, 1.15
4725304, 1.09
4726112, 0.95
4726924, 0.81
4727736, 0.65
4728556, 0.44
4729372, 0.30
4730184, 0.22
4730996, 0.19
4731804, 0.19
4732620, 0.23
4733432, 0.30
4734244, 0.42
4735056, 0.56
4735868, 0.71
4736684, 0.91
4737492, 1.07
4738304, 1.16
4739116, 1.21
4739924, 1.21
4740744, 1.18
4741556, 1.12
4742372, 1.02
4743184, 0.87
4743996, 0.73
4744812, 0.54
4745624, 0.36
4746432, 0.25
4747244, 0.20
4748060, 0.19
4748876, 0.21
4749688, 0.27
4750500, 0.35
4751308, 0.49
4752124, 0.64
4752940, 0.81
4753748, 1.01
4754560, 1.12
4755372, 1.19
4756188, 1.21
4757004, 1.21
4757820, 1.15
4758628, 1.08
4759436, 0.94
4760252, 0.80
4761064, 0.64
4761876, 0.43
4762684, 0.30
4763492, 0.22
4764308, 0.18
4765120, 0.19
4765932, 0.23
4766744, 0.30
4767556, 0.43
4768372, 0.56
4769180, 0.72
4769992, 0.92
4770804, 1.07
4771620, 1.17
4772436, 1.21
4773252, 1.21
4774068, 1.18
4774880, 1.11
4775696, 1.00
4776508, 0.86
4777320, 0.71
4778132, 0.53
4778940, 0.36
4779756, 0.25
4780572, 0.20
4781384, 0.19
4782196, 0.22
4783004, 0.27
4783820, 0.35
4784632, 0.50
4785444, 0.65
4786252, 0.82
4787060, 1.01
4787876, 1.13
4788692, 1.20
4789508, 1.21
4790320, 1.20
4791132, 1.14
4791948, 1.07
4792760, 0.93
4793572, 0.78
4794384, 0.62
4795196, 0.43
4796012, 0.29
4796824, 0.21
4797636, 0.18
4798444, 0.19
4799260, 0.24
4800076, 0.31
4800888, 0.43
4801696, 0.58
4802500, 0.72
4803316, 0.93
4804132, 1.08
4804940, 1.17
4805752, 1.21
4806564, 1.21
4807380, 1.17
4808196, 1.11
4809012, 1.00
4809824, 0.86
4810632, 0.71
4811452, 0.52
4812264, 0.35
4813076, 0.24
4813884, 0.19
4814692, 0.19
4815508, 0.22
4816320, 0.27
4817128, 0.37
4817944, 0.51
4818756, 0.65
4819572, 0.83
4820380, 1.02
4821192, 1.13
4822004, 1.20
4822820, 1.21
4823636, 1.20
4824452, 1.14
4825268, 1.06
4826076, 0.92
4826892, 0.78
4827708, 0.61
4828520, 0.41
4829332, 0.28
4830140, 0.21
4830956, 0.18
4831772, 0.19
4832584, 0.24
4833396, 0.31
4834204, 0.44
4835020, 0.59
4835832, 0.74
4836640, 0.94
4837452, 1.09
4838260, 1.17
4839076, 1.21
4839892, 1.21
4840708, 1.17
4841516, 1.11
4842328, 0.99
4843140, 0.85
4843952, 0.70
4844764, 0.50
4845580, 0.34
4846388, 0.24
4847204, 0.19
4848016, 0.19
4848828, 0.22
4849636, 0.28
4850452, 0.38
4851268, 0.52
4852076, 0.66
4852888, 0.85
4853700, 1.03
4854516, 1.14
4855332, 1.20
4856148, 1.21
4856964, 1.20
4857772, 1.14
4858588, 1.06
4859404, 0.91
4860216, 0.77
4861024, 0.60
4861836, 0.40
4862652, 0.28
4863464, 0.21
4864276, 0.19
4865084, 0.20
4865892, 0.25
4866708, 0.32
4867520, 0.45
4868328, 0.59
4869144, 0.75
4869956, 0.95
4870772, 1.09
4871580, 1.18
4872396, 1.21
4873208, 1.21
4874024, 1.17
4874840, 1.10
4875652, 0.98
4876464, 0.84
4877276, 0.69
4878092, 0.49
4878908, 0.33
4879720, 0.23
4880532, 0.19
4881340, 0.19
4882156, 0.22
4882972, 0.28
4883784, 0.39
4884588, 0.53
4885396, 0.67
4886212, 0.86
4887024, 1.04
4887832, 1.15
4888644, 1.20
4889456, 1.21
4890272, 1.19
4891084, 1.13
4891900, 1.05
4892708, 0.90
4893516, 0.76
4894332, 0.59
4895144, 0.39
4895956, 0.27
4896764, 0.21
4897580, 0.18
4898396, 0.20
4899208, 0.25
4900020, 0.32
4900828, 0.46
4901644, 0.60
4902460, 0.76
4903272, 0.97
4904080, 1.10
4904892, 1.18
4905708, 1.22
4906528, 1.21
4907340, 1.16
4908152, 1.09
4908964, 0.97
4909780, 0.83
4910592, 0.67
4911404, 0.47
4912212, 0.32
4913024, 0.23
4913844, 0.19
4914656, 0.19
4915472, 0.22
4916276, 0.29
4917084, 0.39
4917900, 0.54
4918708, 0.68
4919520, 0.87
4920336, 1.05
4921140, 1.15
4921956, 1.20
4922764, 1.21
4923580, 1.19
4924388, 1.13
4925204, 1.04
4926020, 0.89
4926832, 0.75
4927640, 0.58
4928452, 0.39
4929268, 0.27
4930084, 0.21
4930896, 0.19
4931700, 0.20
4932508, 0.25
4933324, 0.33
4934136, 0.46
4934944, 0.61
4935756, 0.77
4936564, 0.97
4937380, 1.11
4938196, 1.19
4939012, 1.21
4939820, 1.21
4940632, 1.16
4941448, 1.09
4942260, 0.97
4943068, 0.82
4943888, 0.67
4944696, 0.47
4945516, 0.32
4946328, 0.23
4947140, 0.19
4947948, 0.19
4948764, 0.22
4949580, 0.29
4950392, 0.40
4951204, 0.54
4952012, 0.69
4952828, 0.88
4953644, 1.05
4954452, 1.15
4955268, 1.21
4956080, 1.21
4956896, 1.19
4957712, 1.12
4958524, 1.03
4959332, 0.88
4960140, 0.75
4960956, 0.57
4961764, 0.38
4962576, 0.26
4963388, 0.20
4964196, 0.19
4965012, 0.20
4965824, 0.26
4966636, 0.33
4967448, 0.47
4968260, 0.62
4969076, 0.78
4969884, 0.98
4970696, 1.11
4971508, 1.19
4972324, 1.21
4973140, 1.21
4973956, 1.16
4974772, 1.09
4975580, 0.96
4976396, 0.82
4977212, 0.66
4978024, 0.45
4978836, 0.31
4979644, 0.22
4980460, 0.19
4981276, 0.19
4982088, 0.23
4982900, 0.29
4983708, 0.41
4984524, 0.55
4985336, 0.70
4986144, 0.90
4986956, 1.06
4987764, 1.16
4988580, 1.21
4989396, 1.21
4990212, 1.19
4991024, 1.12
4991836, 1.03
4992652, 0.88
4993460, 0.73
4994272, 0.55
4995088, 0.37
4995900, 0.26
4996716, 0.20
4997528, 0.19
4998340, 0.21
4999148, 0.26
4999964, 0.34
5000780, 0.48
5001592, 0.63
5002404, 0.80
5003212, 1.00
5004028, 1.12
5004844, 1.19
5005652, 1.22
5006468, 1.21
5007276, 1.15
5008096, 1.09
5008908, 0.94
5009720, 0.80
5010524, 0.65
5011332, 0.44
5012148, 0.31
5012960, 0.22
5013772, 0.19
5014580, 0.19
5015388, 0.23
5016204, 0.29
5017016, 0.42
5017828, 0.56
5018640, 0.71
5019452, 0.90
5020268, 1.07
5021076, 1.16
5021892, 1.21
5022704, 1.21
5023520, 1.18
5024336, 1.12
5025148, 1.02
5025960, 0.87
5026764, 0.73
5027580, 0.54
5028396, 0.36
5029208, 0.25
5030020, 0.20
5030828, 0.19
5031644, 0.21
5032460, 0.26
5033272, 0.35
5034084, 0.49
5034892, 0.63
5035708, 0.81
5036520, 1.00
5037332, 1.12
5038140, 1.19
5038952, 1.21
5039772, 1.20
5040588, 1.15
5041404, 1.08
5042212, 0.94
5043020, 0.80
5043836, 0.64
5044648, 0.43
5045460, 0.30
5046268, 0.22
5047084, 0.19
5047900, 0.19
5048712, 0.23
5049524, 0.30
5050332, 0.43
5051148, 0.57
5051964, 0.72
5052776, 0.92
5053588, 1.08
5054396, 1.17
5055212, 1.21
5056032, 1.21
5056844, 1.18
5057652, 1.11
5058464, 1.01
5059280, 0.87
5060092, 0.72
5060904, 0.53
5061716, 0.36
5062524, 0.25
5063340, 0.20
5064152, 0.19
5064968, 0.21
