time(us),amplitude
295516, 0.96
296276, 1.09
297020, 1.17
297788, 1.21
298556, 1.21
299320, 1.18
300076, 1.12
300836, 1.05
301596, 0.91
302360, 0.77
303120, 0.62
303876, 0.43
304636, 0.30
305396, 0.22
306156, 0.19
306916, 0.19
307676, 0.22
308436, 0.28
309188, 0.36
309948, 0.50
310708, 0.63
311468, 0.79
312212, 0.98
312980, 1.10
313744, 1.18
314504, 1.21
315268, 1.21
316036, 1.18
316800, 1.12
317560, 1.03
318316, 0.89
319076, 0.76
319836, 0.60
320596, 0.41
321356, 0.29
322116, 0.22
322876, 0.19
323628, 0.19
324380, 0.22
325140, 0.28
325900, 0.38
326644, 0.51
327412, 0.65
328172, 0.81
328932, 0.99
329684, 1.10
330452, 1.18
331212, 1.21
331976, 1.21
332736, 1.18
333508, 1.12
334268, 1.02
335028, 0.88
335780, 0.74
336540, 0.58
337300, 0.40
338060, 0.28
338812, 0.22
339572, 0.19
340332, 0.19
341084, 0.23
341828, 0.29
342596, 0.39
343356, 0.52
344116, 0.65
344868, 0.82
345628, 1.00
346388, 1.12
347152, 1.19
347916, 1.22
348684, 1.21
349444, 1.17
350204, 1.10
350972, 1.00
351732, 0.87
352492, 0.73
353252, 0.56
354012, 0.39
354772, 0.27
355532, 0.21
356292, 0.19
357052, 0.19
357812, 0.23
358572, 0.29
359324, 0.40
360084, 0.54
360844, 0.67
361604, 0.85
362356, 1.02
363116, 1.12
363880, 1.19
364644, 1.21
365404, 1.21
366172, 1.16
366936, 1.10
367700, 0.99
368452, 0.85
369212, 0.71
369972, 0.54
370724, 0.37
371484, 0.26
372244, 0.20
373004, 0.19
373748, 0.19
374516, 0.24
375276, 0.30
376036, 0.42
376788, 0.55
377548, 0.69
378308, 0.87
379068, 1.04
379820, 1.14
380588, 1.20
381352, 1.21
382116, 1.20
382876, 1.16
383644, 1.10
384408, 0.97
385172, 0.84
385924, 0.70
386684, 0.52
387444, 0.36
388196, 0.26
388948, 0.20
389708, 0.19
390468, 0.20
391220, 0.24
391964, 0.31
392740, 0.43
393500, 0.56
394264, 0.70
395020, 0.88
395780, 1.05
396540, 1.14
397300, 1.20
398068, 1.21
398832, 1.20
399596, 1.15
400356, 1.09
401116, 0.96
401876, 0.83
402636, 0.68
403380, 0.50
404148, 0.34
404908, 0.25
405668, 0.20
406428, 0.19
407188, 0.20
407948, 0.25
408708, 0.32
409468, 0.45
410228, 0.58
410988, 0.72
411748, 0.91
412508, 1.06
413268, 1.15
414028, 1.21
414788, 1.21
415548, 1.20
416316, 1.14
417076, 1.07
417836, 0.94
418588, 0.81
419348, 0.67
420108, 0.48
420860, 0.33
421620, 0.24
422380, 0.19
423140, 0.19
423892, 0.20
424652, 0.26
425412, 0.33
426172, 0.46
426916, 0.59
427684, 0.73
428444, 0.92
429204, 1.07
429956, 1.16
430724, 1.21
431484, 1.21
432248, 1.20
433012, 1.14
433780, 1.07
434540, 0.93
435300, 0.80
436052, 0.65
436812, 0.46
437572, 0.32
438332, 0.23
439092, 0.19
439852, 0.19
440612, 0.21
441372, 0.26
442124, 0.34
442884, 0.47
443644, 0.61
444404, 0.75
445164, 0.94
445924, 1.08
446684, 1.17
447444, 1.21
448212, 1.21
448972, 1.19
449736, 1.13
450496, 1.06
451260, 0.91
452020, 0.78
452780, 0.63
453540, 0.44
454300, 0.31
455064, 0.23
455828, 0.19
456580, 0.19
457340, 0.21
458100, 0.27
458860, 0.36
459620, 0.49
460380, 0.62
461140, 0.78
461892, 0.96
462644, 1.09
463404, 1.17
464164, 1.21
464928, 1.21
465692, 1.18
466460, 1.12
467220, 1.04
467984, 0.90
468740, 0.77
469500, 0.61
470264, 0.42
471020, 0.30
471780, 0.22
472540, 0.19
473300, 0.19
474052, 0.22
474812, 0.28
475572, 0.37
476332, 0.50
477084, 0.64
477844, 0.79
478604, 0.98
479364, 1.10
480124, 1.18
480892, 1.22
481652, 1.21
482416, 1.18
483180, 1.11
483948, 1.02
484708, 0.88
485460, 0.75
486220, 0.59
486980, 0.41
487740, 0.29
488492, 0.22
489252, 0.19
490012, 0.19
490772, 0.22
